"No.","Time","Source","Destination","Protocol","Length","Info"
"396","113.152040060","8.8.8.8","192.168.1.12","DNS","204","Standard query response 0x63f0 A www.linkedin.com CNAME cf-afd.www.linkedin.com CNAME www.linkedin.com.cdn.cloudflare.net A 104.18.41.41 A 172.64.146.215"
"397","113.152040240","8.8.8.8","192.168.1.12","DNS","247","Standard query response 0x4089 AAAA www.youtube.com CNAME youtube-ui.l.google.com AAAA 2a00:1450:4006:80d::200e AAAA 2a00:1450:4006:801::200e AAAA 2a00:1450:4006:80c::200e AAAA 2a00:1450:4006:80e::200e"
"398","113.152537179","192.168.1.12","8.8.8.8","TCP","66","46144  >  53 [ACK] Seq=306 Ack=1059 Win=31872 Len=0 TSval=3934060576 TSecr=3484911122"
"399","113.163407818","8.8.8.8","192.168.1.12","DNS","228","Standard query response 0x5289 AAAA www.linkedin.com CNAME cf-afd.www.linkedin.com CNAME www.linkedin.com.cdn.cloudflare.net AAAA 2606:4700:4400::ac40:92d7 AAAA 2606:4700:4400::6812:2929"
"400","113.204355734","192.168.1.12","8.8.8.8","TCP","66","46144  >  53 [ACK] Seq=306 Ack=1221 Win=31872 Len=0 TSval=3934060628 TSecr=3484911133"
"405","115.136908061","8.8.8.8","192.168.1.12","TCP","66","53  >  46144 [FIN, ACK] Seq=1221 Ack=306 Win=268800 Len=0 TSval=3484913102 TSecr=3934060628"
"406","115.136989600","192.168.1.12","8.8.8.8","TCP","66","46144  >  53 [FIN, ACK] Seq=306 Ack=1222 Win=31872 Len=0 TSval=3934062560 TSecr=3484913102"
"407","115.197425131","8.8.8.8","192.168.1.12","TCP","66","53  >  46144 [ACK] Seq=1222 Ack=307 Win=268800 Len=0 TSval=3484913165 TSecr=3934062560"
"409","115.871868991","192.168.1.12","146.190.62.39","TCP","66","[TCP Retransmission] 57902  >  80 [FIN, ACK] Seq=500 Ack=751 Win=31872 Len=0 TSval=91024596 TSecr=3401285815"
"415","118.653424526","192.168.1.12","146.190.62.39","TCP","66","47976  >  80 [FIN, ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=91027378 TSecr=3401305341"
