"No.","Time","Source","Destination","Protocol","Length","Info"
"168","28.564245424","146.190.62.39","192.168.1.12","TCP","66","[TCP Keep-Alive ACK] 80  >  57902 [ACK] Seq=750 Ack=500 Win=64768 Len=0 TSval=3401221252 TSecr=90926844"
"191","39.071017061","192.168.1.12","146.190.62.39","TCP","66","[TCP Keep-Alive] 57902  >  80 [ACK] Seq=499 Ack=750 Win=31872 Len=0 TSval=90947796 TSecr=3401221252"
"192","39.282576515","146.190.62.39","192.168.1.12","TCP","66","[TCP Keep-Alive ACK] 80  >  57902 [ACK] Seq=750 Ack=500 Win=64768 Len=0 TSval=3401231975 TSecr=90926844"
"213","49.311036792","192.168.1.12","146.190.62.39","TCP","66","[TCP Keep-Alive] 57902  >  80 [ACK] Seq=499 Ack=750 Win=31872 Len=0 TSval=90958036 TSecr=3401231975"
"214","49.562432467","146.190.62.39","192.168.1.12","TCP","66","[TCP Keep-Alive ACK] 80  >  57902 [ACK] Seq=750 Ack=500 Win=64768 Len=0 TSval=3401242251 TSecr=90926844"
"237","60.063018303","192.168.1.12","146.190.62.39","TCP","66","[TCP Keep-Alive] 57902  >  80 [ACK] Seq=499 Ack=750 Win=31872 Len=0 TSval=90968788 TSecr=3401242251"
"238","60.279572690","146.190.62.39","192.168.1.12","TCP","66","[TCP Keep-Alive ACK] 80  >  57902 [ACK] Seq=750 Ack=500 Win=64768 Len=0 TSval=3401252964 TSecr=90926844"
"259","70.303044717","192.168.1.12","146.190.62.39","TCP","66","[TCP Keep-Alive] 57902  >  80 [ACK] Seq=499 Ack=750 Win=31872 Len=0 TSval=90979028 TSecr=3401252964"
"260","70.534714513","146.190.62.39","192.168.1.12","TCP","66","[TCP Keep-Alive ACK] 80  >  57902 [ACK] Seq=750 Ack=500 Win=64768 Len=0 TSval=3401263220 TSecr=90926844"
"275","76.663693485","192.168.1.12","104.17.24.14","TLSv1.3","105","Application Data"
"276","76.663763213","192.168.1.12","104.17.24.14","TLSv1.3","105","Application Data"
"277","76.712276812","104.17.24.14","192.168.1.12","TLSv1.3","105","Application Data"
"278","76.722399327","104.17.24.14","192.168.1.12","TLSv1.3","105","Application Data"
"280","76.753218997","192.168.1.12","104.17.24.14","TCP","66","55808  >  443 [ACK] Seq=1416 Ack=868 Win=31872 Len=0 TSval=845141708 TSecr=4118720371"
"281","76.763335918","192.168.1.12","104.17.24.14","TCP","66","55812  >  443 [ACK] Seq=1416 Ack=868 Win=31872 Len=0 TSval=845141718 TSecr=3746844947"
"290","80.543018280","192.168.1.12","146.190.62.39","TCP","66","[TCP Keep-Alive] 57902  >  80 [ACK] Seq=499 Ack=750 Win=31872 Len=0 TSval=90989268 TSecr=3401263220"
"292","80.760126911","146.190.62.39","192.168.1.12","TCP","66","[TCP Keep-Alive ACK] 80  >  57902 [ACK] Seq=750 Ack=500 Win=64768 Len=0 TSval=3401273445 TSecr=90926844"
"313","90.783029278","192.168.1.12","146.190.62.39","TCP","66","[TCP Keep-Alive] 57902  >  80 [ACK] Seq=499 Ack=750 Win=31872 Len=0 TSval=90999508 TSecr=3401273445"
"315","91.020265827","146.190.62.39","192.168.1.12","TCP","66","[TCP Keep-Alive ACK] 80  >  57902 [ACK] Seq=750 Ack=500 Win=64768 Len=0 TSval=3401283714 TSecr=90926844"
"320","93.177721572","146.190.62.39","192.168.1.12","TCP","66","80  >  57902 [FIN, ACK] Seq=750 Ack=500 Win=64768 Len=0 TSval=3401285815 TSecr=90926844"
